λ,σ,Δσ
117.0,3.12e-17,NaN
117.22,2.93e-17,NaN
117.68,2.73e-17,NaN
118.37,2.48e-17,NaN
118.82,2.23e-17,NaN
119.11,2.02e-17,NaN
119.36,2.09e-17,NaN
119.65,1.9e-17,NaN
119.86,1.94e-17,NaN
120.09,1.78e-17,NaN
120.21,1.65e-17,NaN
120.87,1.59e-17,NaN
121.29,1.5e-17,NaN
121.74,1.56e-17,NaN
121.89,1.66e-17,NaN
122.17,1.71e-17,NaN
122.26,1.53e-17,NaN
122.33,1.31e-17,NaN
122.55,1.34e-17,NaN
122.68,1.28e-17,NaN
122.83,1.18e-17,NaN
123.03,1.26e-17,NaN
123.2,1.12e-17,NaN
123.31,1.29e-17,NaN
123.54,1.16e-17,NaN
123.71,1.34e-17,NaN
123.78,1.5e-17,NaN
124.07,1.43e-17,NaN
124.2,1.65e-17,NaN
124.58,1.22e-17,NaN
124.74,9.55e-18,NaN
125.24,1.01e-17,NaN
125.61,1.12e-17,NaN
126.16,1.17e-17,NaN
126.34,1.32e-17,NaN
126.71,1.24e-17,NaN
126.99,1.14e-17,NaN
127.33,8.77e-18,NaN
127.51,1.15e-17,NaN
127.6,1.34e-17,NaN
127.91,1.52e-17,NaN
128.22,1.12e-17,NaN
128.53,1.19e-17,NaN
128.7,1.01e-17,NaN
128.92,1.2e-17,NaN
129.31,1.01e-17,NaN
129.5,1.09e-17,NaN
129.82,9.57e-18,NaN
129.99,1.09e-17,NaN
130.06,1.25e-17,NaN
130.21,1.5e-17,NaN
130.58,1.28e-17,NaN
130.93,1.13e-17,NaN
131.28,1.07e-17,NaN
131.57,1.29e-17,NaN
131.83,1.1e-17,NaN
132.1,1.28e-17,NaN
132.56,1.13e-17,NaN
132.82,1.35e-17,NaN
133.43,1.16e-17,NaN
133.9,9.54e-18,NaN
134.08,1.36e-17,NaN
134.31,1.76e-17,NaN
134.66,1.22e-17,NaN
134.81,1.51e-17,NaN
134.94,1.84e-17,NaN
135.26,1.55e-17,NaN
135.55,1.64e-17,NaN
135.72,1.52e-17,NaN
135.8,1.43e-17,NaN
135.96,1.31e-17,NaN
136.34,1.36e-17,NaN
136.42,1.11e-17,NaN
136.74,1.25e-17,NaN
136.96,1.29e-17,NaN
136.98,1.36e-17,NaN
137.03,2.15e-17,NaN
137.25,1.81e-17,NaN
137.48,1.53e-17,NaN
137.64,1.67e-17,NaN
137.75,1.85e-17,NaN
138.02,2.04e-17,NaN
138.11,1.76e-17,NaN
138.19,1.63e-17,NaN
138.47,1.58e-17,NaN
138.58,1.41e-17,NaN
138.84,1.22e-17,NaN
139.11,1.31e-17,NaN
139.37,1.21e-17,NaN
139.48,1.1e-17,NaN
139.91,1.08e-17,NaN
139.93,1.1e-17,NaN
140.04,2.06e-17,NaN
140.13,1.77e-17,NaN
140.33,1.45e-17,NaN
140.56,1.26e-17,NaN
140.88,1.24e-17,NaN
141.14,1.02e-17,NaN
141.6,1.11e-17,NaN
141.87,9.57e-18,NaN
142.13,7.84e-18,NaN
142.66,6.84e-18,NaN
143.19,8.75e-18,NaN
143.67,7.19e-18,NaN
143.91,7.91e-18,NaN
144.1,6.46e-18,NaN
144.46,7.18e-18,NaN
144.61,5.64e-18,NaN
145.19,4.81e-18,NaN
145.59,5.69e-18,NaN
145.93,5.39e-18,NaN
146.14,6.31e-18,NaN
146.3,7.87e-18,NaN
146.54,1.08e-17,NaN
146.82,8.54e-18,NaN
147.13,1.32e-17,NaN
147.39,7.14e-18,NaN
147.8,7.86e-18,NaN
148.28,6.49e-18,NaN
148.6,7.4e-18,NaN
148.72,9.37e-18,NaN
149.18,7.64e-18,NaN
149.53,9.8e-18,NaN
149.66,1.98e-17,NaN
149.68,1.97e-17,NaN
150.21,1.19e-17,NaN
150.33,1.68e-17,NaN
150.9,1.02e-17,NaN
151.43,1.22e-17,NaN
152.0,1.16e-17,NaN
152.26,1.43e-17,NaN
152.77,1.33e-17,NaN
152.97,2.08e-17,NaN
152.99,2.29e-17,NaN
153.25,3.23e-17,NaN
153.4,2.35e-17,NaN
153.86,1.63e-17,NaN
154.55,1.76e-17,NaN
155.06,1.93e-17,NaN
155.69,2.06e-17,NaN
156.54,2.15e-17,NaN
156.97,2.26e-17,NaN
157.25,2.42e-17,NaN
157.79,2.61e-17,NaN
158.4,2.73e-17,NaN
159.39,2.85e-17,NaN
159.79,3.02e-17,NaN
160.46,3.17e-17,NaN
160.83,3.32e-17,NaN
161.43,3.46e-17,NaN
161.92,3.6e-17,NaN
162.53,3.59e-17,NaN
163.57,3.69e-17,NaN
164.28,3.61e-17,NaN
164.86,3.72e-17,NaN
165.26,3.88e-17,NaN
165.45,4.06e-17,NaN
166.21,3.89e-17,NaN
167.06,3.78e-17,NaN
167.83,3.84e-17,NaN
168.36,3.8e-17,NaN
168.65,3.93e-17,NaN
169.06,4.13e-17,NaN
169.82,3.73e-17,NaN
170.2,3.46e-17,NaN
170.75,3.2e-17,NaN
171.61,2.92e-17,NaN
172.07,3.21e-17,NaN
172.28,3.45e-17,NaN
172.88,4.12e-17,NaN
173.19,3.43e-17,NaN
173.55,2.97e-17,NaN
173.91,2.46e-17,NaN
174.4,2.03e-17,NaN
175.03,1.68e-17,NaN
175.97,1.43e-17,NaN
176.6,1.7e-17,NaN
176.82,2.03e-17,NaN
177.04,2.51e-17,NaN
177.52,3.4e-17,NaN
177.72,2.55e-17,NaN
177.91,2.01e-17,NaN
178.2,1.63e-17,NaN
178.39,1.31e-17,NaN
178.67,1.04e-17,NaN
179.0,8.64e-18,NaN
179.33,7.0e-18,NaN
179.8,5.7e-18,NaN
180.46,4.48e-18,NaN
181.41,3.32e-18,NaN
182.13,2.54e-18,NaN
183.1,1.54e-18,NaN
184.33,8.05e-19,NaN
185.87,1.79e-20,NaN
