λ,σ,Δσ
212.5,2.49e-18,NaN
215.0,2.7e-18,NaN
217.5,2.99e-18,NaN
220.0,3.37e-18,NaN
222.5,3.75e-18,NaN
225.0,4.35e-18,NaN
227.5,5.07e-18,NaN
230.0,6.27e-18,NaN
232.5,7.47e-18,NaN
235.0,8.38e-18,NaN
237.5,9.38e-18,NaN
240.0,9.93e-18,NaN
242.5,9.84e-18,NaN
245.0,9.17e-18,NaN
247.5,8.37e-18,NaN
250.0,7.36e-18,NaN
252.5,6.64e-18,NaN
255.0,5.95e-18,NaN
257.5,5.47e-18,NaN
260.0,5.08e-18,NaN
262.5,4.79e-18,NaN
265.0,4.65e-18,NaN
267.5,4.62e-18,NaN
270.0,4.69e-18,NaN
272.5,4.81e-18,NaN
275.0,4.79e-18,NaN
277.5,4.52e-18,NaN
280.0,3.93e-18,NaN
282.5,3.31e-18,NaN
285.0,2.78e-18,NaN
287.5,2.31e-18,NaN
290.0,1.87e-18,NaN
292.5,1.51e-18,NaN
295.0,1.16e-18,NaN
297.5,9.05e-19,NaN
