λ,σ
253.15,7.99e-19
256.07,8.81e-19
258.83,9.77e-19
261.26,1.07e-18
262.88,1.15e-18
264.99,1.25e-18
267.59,1.39e-18
269.37,1.51e-18
271.97,1.68e-18
274.56,1.88e-18
276.51,2.08e-18
278.95,2.34e-18
281.54,2.6e-18
283.81,2.92e-18
286.41,3.28e-18
288.68,3.7e-18
291.28,4.24e-18
293.87,4.7e-18
296.31,5.24e-18
297.77,5.71e-18
300.36,6.38e-18
303.28,7.03e-18
306.04,7.8e-18
309.93,8.55e-18
313.66,8.92e-18
317.22,8.91e-18
320.46,8.59e-18
323.86,8.02e-18
326.93,7.31e-18
330.82,6.5e-18
333.73,5.93e-18
336.32,5.34e-18
339.39,4.78e-18
342.3,4.33e-18
345.05,3.92e-18
348.45,3.47e-18
351.53,3.2e-18
354.6,2.87e-18
357.67,2.63e-18
360.75,2.38e-18
365.44,2.12e-18
368.52,1.97e-18
372.08,1.79e-18
375.32,1.65e-18
378.55,1.54e-18
380.98,1.47e-18
384.38,1.37e-18
387.94,1.28e-18
391.18,1.19e-18
395.87,1.11e-18
399.27,1.05e-18
402.67,9.96e-19
406.24,9.48e-19
410.28,8.8e-19
413.68,8.43e-19
417.08,8.02e-19
420.81,7.68e-19
424.37,7.35e-19
427.77,7.04e-19
431.49,6.74e-19
435.06,6.49e-19
438.78,6.22e-19
442.34,5.99e-19
445.74,5.73e-19
449.14,5.56e-19
453.35,5.42e-19
456.59,5.19e-19
459.99,5.06e-19
463.56,4.93e-19
465.98,4.81e-19
469.55,4.61e-19
473.27,4.49e-19
477.0,4.38e-19
480.4,4.27e-19
484.28,4.12e-19
488.01,4.04e-19
491.73,3.91e-19
495.3,3.82e-19
498.7,3.72e-19
