λ,σ,Δσ
155.2,1.35e-17,NaN
155.67,1.38e-17,NaN
156.09,1.41e-17,NaN
156.39,1.44e-17,NaN
156.77,1.46e-17,NaN
157.11,1.48e-17,NaN
157.45,1.51e-17,NaN
157.74,1.53e-17,NaN
158.08,1.55e-17,NaN
158.54,1.57e-17,NaN
158.76,1.59e-17,NaN
159.39,1.61e-17,NaN
160.07,1.59e-17,NaN
160.53,1.57e-17,NaN
160.87,1.53e-17,NaN
161.08,1.51e-17,NaN
161.29,1.48e-17,NaN
161.42,1.46e-17,NaN
161.59,1.44e-17,NaN
161.8,1.42e-17,NaN
162.01,1.4e-17,NaN
162.23,1.37e-17,NaN
162.44,1.35e-17,NaN
162.61,1.33e-17,NaN
162.78,1.31e-17,NaN
162.99,1.27e-17,NaN
163.16,1.24e-17,NaN
163.37,1.22e-17,NaN
163.49,1.19e-17,NaN
163.62,1.15e-17,NaN
163.83,1.12e-17,NaN
164.04,1.09e-17,NaN
164.3,1.07e-17,NaN
164.42,1.04e-17,NaN
164.59,1.02e-17,NaN
164.72,9.87e-18,NaN
164.89,9.51e-18,NaN
165.1,9.25e-18,NaN
165.14,8.94e-18,NaN
165.27,8.66e-18,NaN
165.57,8.41e-18,NaN
165.74,8.15e-18,NaN
166.07,7.87e-18,NaN
166.2,7.55e-18,NaN
166.46,7.24e-18,NaN
166.75,6.84e-18,NaN
167.3,6.54e-18,NaN
167.6,6.23e-18,NaN
167.98,5.95e-18,NaN
168.49,5.64e-18,NaN
169.04,5.36e-18,NaN
169.5,5.14e-18,NaN
170.05,4.87e-18,NaN
170.94,4.54e-18,NaN
171.53,4.28e-18,NaN
172.38,3.98e-18,NaN
173.22,3.67e-18,NaN
173.98,3.34e-18,NaN
175.0,2.98e-18,NaN
175.97,2.65e-18,NaN
177.07,2.33e-18,NaN
177.92,2.09e-18,NaN
178.89,1.84e-18,NaN
179.91,1.6e-18,NaN
180.8,1.39e-18,NaN
181.73,1.19e-18,NaN
183.04,9.28e-19,NaN
183.93,7.59e-19,NaN
185.03,5.9e-19,NaN
186.29,4.13e-19,NaN
187.31,3.24e-19,NaN
188.24,2.51e-19,NaN
