λ,σ
110.56,2.14e-16
111.09,2.13e-16
111.56,2.11e-16
111.93,2.09e-16
112.26,2.06e-16
112.56,2.03e-16
112.86,2.0e-16
113.17,1.97e-16
113.53,1.95e-16
113.76,1.93e-16
114.2,1.91e-16
114.76,1.9e-16
115.28,1.91e-16
115.85,1.92e-16
116.46,1.92e-16
117.1,1.92e-16
117.61,1.9e-16
118.16,1.88e-16
118.71,1.87e-16
119.27,1.85e-16
119.78,1.83e-16
120.21,1.81e-16
120.59,1.78e-16
120.94,1.75e-16
121.2,1.72e-16
121.55,1.7e-16
121.91,1.67e-16
122.44,1.65e-16
123.09,1.64e-16
123.84,1.64e-16
124.47,1.63e-16
124.97,1.6e-16
125.4,1.58e-16
126.13,1.52e-16
126.61,1.5e-16
127.15,1.48e-16
127.85,1.46e-16
128.63,1.46e-16
129.41,1.45e-16
130.17,1.44e-16
130.91,1.43e-16
131.65,1.44e-16
132.36,1.46e-16
132.97,1.48e-16
133.45,1.51e-16
133.89,1.54e-16
134.31,1.57e-16
134.69,1.6e-16
135.07,1.63e-16
135.49,1.65e-16
135.73,1.68e-16
136.12,1.7e-16
136.26,1.72e-16
136.72,1.75e-16
137.16,1.78e-16
137.59,1.81e-16
138.1,1.83e-16
138.5,1.86e-16
139.1,1.88e-16
139.66,1.91e-16
140.42,1.93e-16
141.28,1.92e-16
141.99,1.89e-16
142.67,1.87e-16
143.44,1.85e-16
144.34,1.83e-16
145.21,1.82e-16
145.96,1.8e-16
146.68,1.77e-16
147.37,1.75e-16
148.06,1.72e-16
148.68,1.7e-16
149.25,1.67e-16
149.39,1.66e-16
149.88,1.63e-16
150.38,1.6e-16
150.83,1.57e-16
151.06,1.56e-16
151.56,1.53e-16
151.93,1.51e-16
152.44,1.49e-16
153.0,1.45e-16
153.53,1.41e-16
154.19,1.37e-16
154.49,1.33e-16
154.88,1.3e-16
155.22,1.27e-16
155.56,1.24e-16
155.96,1.2e-16
156.21,1.17e-16
156.61,1.14e-16
157.01,1.1e-16
157.41,1.06e-16
157.67,1.03e-16
157.93,9.94e-17
158.34,9.62e-17
158.75,9.17e-17
159.11,8.84e-17
159.37,8.52e-17
159.74,8.18e-17
160.05,7.86e-17
160.47,7.54e-17
160.84,7.17e-17
161.16,6.81e-17
161.59,6.41e-17
162.07,5.92e-17
162.71,5.39e-17
163.15,4.95e-17
163.48,4.58e-17
163.81,4.25e-17
164.08,4.04e-17
164.52,3.73e-17
164.96,3.43e-17
165.51,3.11e-17
166.06,2.82e-17
166.56,2.59e-17
167.23,2.31e-17
168.07,2.06e-17
169.08,1.85e-17
170.33,1.69e-17
171.52,1.78e-17
172.67,1.93e-17
173.66,2.16e-17
174.59,2.41e-17
175.42,2.68e-17
176.13,2.93e-17
176.91,3.19e-17
177.51,3.5e-17
178.05,3.76e-17
178.65,4.07e-17
179.26,4.36e-17
179.88,4.67e-17
180.37,4.92e-17
181.05,5.22e-17
181.3,5.39e-17
181.67,5.64e-17
182.11,5.89e-17
182.94,6.18e-17
184.05,6.4e-17
185.44,6.54e-17
186.25,6.57e-17
187.07,6.54e-17
188.46,6.35e-17
189.6,6.08e-17
190.82,5.77e-17
192.06,5.44e-17
193.25,5.07e-17
194.3,4.7e-17
195.6,4.24e-17
196.75,3.87e-17
197.61,3.52e-17
198.48,3.22e-17
199.12,2.95e-17
199.84,2.64e-17
200.48,2.52e-17
201.61,2.1e-17
202.84,1.73e-17
204.5,1.31e-17
206.17,9.26e-18
207.45,6.39e-18
208.99,4.49e-18
210.81,3.01e-18
212.67,1.81e-18
216.27,1.2e-18
219.81,5.9e-19
