λ,σ,Δσ
190.03,3.36e-19,NaN
190.38,3.22e-19,NaN
190.71,3.1e-19,NaN
190.93,3.01e-19,NaN
191.17,2.92e-19,NaN
191.51,2.83e-19,NaN
191.85,2.74e-19,NaN
192.12,2.65e-19,NaN
192.37,2.55e-19,NaN
192.58,2.46e-19,NaN
192.82,2.35e-19,NaN
193.17,2.22e-19,NaN
193.53,2.13e-19,NaN
193.84,2.04e-19,NaN
194.09,1.96e-19,NaN
194.36,1.89e-19,NaN
194.7,1.8e-19,NaN
194.86,1.76e-19,NaN
195.16,1.67e-19,NaN
195.47,1.59e-19,NaN
195.84,1.5e-19,NaN
196.24,1.42e-19,NaN
196.67,1.34e-19,NaN
197.04,1.26e-19,NaN
197.47,1.17e-19,NaN
197.84,1.09e-19,NaN
198.31,1.01e-19,NaN
198.8,9.39e-20,NaN
199.26,8.68e-20,NaN
199.76,7.89e-20,NaN
200.25,7.23e-20,NaN
200.81,6.56e-20,NaN
201.4,5.97e-20,NaN
201.95,5.34e-20,NaN
202.51,4.78e-20,NaN
203.16,4.27e-20,NaN
203.81,3.84e-20,NaN
204.46,3.36e-20,NaN
205.14,2.89e-20,NaN
205.85,2.54e-20,NaN
206.54,2.22e-20,NaN
207.25,1.9e-20,NaN
207.93,1.63e-20,NaN
208.64,1.43e-20,NaN
209.36,1.27e-20,NaN
210.13,1.03e-20,NaN
210.81,9.08e-21,NaN
211.59,8.27e-21,NaN
212.3,6.28e-21,NaN
213.05,5.86e-21,NaN
213.73,5.44e-21,NaN
214.44,4.24e-21,NaN
215.0,4.8e-21,NaN
220.0,2.0e-21,NaN
225.0,8.0e-22,NaN
230.0,3.0e-22,NaN
