λ,σ
123.87,5.09e-17
124.16,5.36e-17
124.47,5.01e-17
124.68,4.71e-17
124.72,4.44e-17
125.05,4.32e-17
125.14,4.07e-17
125.42,3.81e-17
125.79,4.17e-17
126.08,3.83e-17
126.36,4.32e-17
126.58,3.73e-17
126.86,4.24e-17
127.06,5.01e-17
127.09,4.21e-17
127.19,3.64e-17
127.46,3.25e-17
127.68,3.64e-17
127.76,4.1e-17
127.88,4.5e-17
128.27,5.17e-17
128.35,4.95e-17
128.36,3.83e-17
128.59,3.45e-17
128.73,3.71e-17
128.97,3.84e-17
129.0,4.08e-17
129.22,4.32e-17
129.28,4.78e-17
129.41,5.42e-17
129.55,6.51e-17
129.74,5.19e-17
130.11,4.36e-17
130.13,4.13e-17
130.27,3.84e-17
130.55,3.71e-17
130.9,3.81e-17
131.07,3.99e-17
131.3,4.27e-17
131.48,4.7e-17
131.51,5.22e-17
131.67,5.95e-17
131.84,6.73e-17
132.13,7.68e-17
132.23,6.58e-17
132.26,5.54e-17
132.3,4.92e-17
132.56,4.29e-17
132.98,5.23e-17
133.15,4.53e-17
133.15,3.66e-17
133.22,3.33e-17
133.28,3.05e-17
133.34,2.77e-17
133.64,2.55e-17
134.2,2.56e-17
134.74,2.64e-17
135.11,2.86e-17
135.38,3.14e-17
135.49,3.35e-17
135.67,3.62e-17
135.84,3.98e-17
136.11,4.36e-17
136.15,4.86e-17
136.32,5.44e-17
136.76,4.8e-17
137.14,5.43e-17
137.27,4.94e-17
137.35,3.95e-17
137.36,4.44e-17
137.58,3.38e-17
138.01,3.15e-17
138.28,2.78e-17
138.8,2.78e-17
138.99,3.04e-17
139.03,3.4e-17
139.23,3.75e-17
139.48,3.84e-17
139.72,4.6e-17
139.82,5.39e-17
139.98,4.37e-17
140.13,3.35e-17
140.26,2.44e-17
140.57,2.39e-17
140.82,2.2e-17
141.12,1.91e-17
141.66,1.83e-17
142.32,1.88e-17
142.9,1.97e-17
143.32,2.12e-17
143.73,2.27e-17
144.07,2.43e-17
144.42,2.58e-17
144.87,2.73e-17
145.41,2.85e-17
146.02,2.95e-17
146.45,3.1e-17
146.87,3.29e-17
147.29,3.47e-17
147.66,3.63e-17
148.13,3.77e-17
148.79,3.85e-17
149.49,3.93e-17
150.17,4.01e-17
150.3,4.06e-17
150.85,4.17e-17
151.44,4.28e-17
151.93,4.41e-17
152.3,4.58e-17
152.7,4.75e-17
153.1,4.9e-17
153.48,5.08e-17
153.89,5.28e-17
154.16,5.46e-17
154.23,5.67e-17
154.51,5.89e-17
154.82,6.07e-17
155.24,6.29e-17
155.56,6.46e-17
155.98,6.78e-17
156.13,7.08e-17
156.34,7.39e-17
156.56,7.75e-17
156.71,8.04e-17
156.93,8.37e-17
157.12,8.77e-17
157.37,9.03e-17
157.73,9.43e-17
158.07,8.82e-17
158.38,8.33e-17
158.87,7.96e-17
159.26,7.64e-17
159.58,7.34e-17
159.97,7.01e-17
160.66,6.96e-17
161.36,6.84e-17
161.7,7.15e-17
161.94,7.48e-17
162.57,7.23e-17
162.93,6.95e-17
163.21,7.33e-17
163.3,7.72e-17
163.31,9.26e-17
163.31,8.18e-17
163.37,1.03e-16
163.57,1.17e-16
163.76,1.55e-16
164.39,1.09e-16
164.52,1.01e-16
164.87,9.01e-17
165.09,8.52e-17
165.54,8.03e-17
166.08,7.68e-17
166.9,7.45e-17
167.12,6.89e-17
167.43,6.39e-17
167.86,6.05e-17
168.7,5.86e-17
168.89,5.63e-17
169.17,5.32e-17
169.32,4.97e-17
169.64,4.69e-17
170.08,4.41e-17
170.44,4.0e-17
170.76,3.63e-17
171.08,3.37e-17
171.41,3.15e-17
171.66,2.97e-17
172.07,2.75e-17
172.57,2.51e-17
173.11,2.26e-17
173.45,2.09e-17
173.92,1.88e-17
174.38,1.67e-17
174.9,1.5e-17
175.24,1.37e-17
175.85,1.22e-17
176.56,1.09e-17
177.31,9.59e-18
178.12,8.47e-18
179.02,7.5e-18
179.98,6.68e-18
180.95,5.94e-18
181.94,5.27e-18
183.03,4.75e-18
184.13,4.31e-18
185.29,4.17e-18
186.42,3.8e-18
187.62,3.8e-18
188.78,3.81e-18
189.96,3.82e-18
191.15,3.75e-18
192.35,4.05e-18
193.63,4.28e-18
194.92,4.44e-18
196.17,4.52e-18
197.44,4.83e-18
198.73,5.51e-18
199.98,6.11e-18
201.24,7.09e-18
202.35,8.14e-18
203.59,8.97e-18
204.72,1.0e-17
205.81,1.13e-17
206.84,1.26e-17
207.77,1.4e-17
208.7,1.54e-17
209.14,1.62e-17
209.96,1.78e-17
210.66,1.93e-17
211.43,2.14e-17
212.15,2.32e-17
212.67,2.47e-17
213.32,2.68e-17
213.86,2.92e-17
214.59,3.15e-17
215.25,3.32e-17
215.86,3.49e-17
216.7,3.76e-17
217.56,4.02e-17
218.11,4.2e-17
218.8,4.42e-17
219.29,4.66e-17
219.71,4.85e-17
220.14,5.08e-17
220.57,5.32e-17
220.93,5.5e-17
221.57,5.8e-17
222.36,6.13e-17
223.63,6.1e-17
225.02,6.46e-17
225.82,6.61e-17
226.42,6.89e-17
226.95,7.18e-17
227.48,7.4e-17
228.16,7.71e-17
229.12,7.63e-17
229.36,7.91e-17
230.22,8.36e-17
230.57,8.01e-17
230.78,7.38e-17
230.84,7.37e-17
231.84,7.57e-17
232.05,7.24e-17
232.57,6.82e-17
233.91,7.22e-17
233.95,6.71e-17
234.69,6.02e-17
235.36,6.59e-17
235.9,7.58e-17
236.47,6.53e-17
236.89,5.7e-17
237.59,6.58e-17
238.12,7.39e-17
238.71,6.41e-17
239.27,5.01e-17
240.2,5.47e-17
240.48,4.69e-17
240.61,4.16e-17
240.99,3.6e-17
241.28,3.04e-17
242.04,3.17e-17
242.52,2.9e-17
242.66,2.43e-17
243.06,2.05e-17
244.05,1.69e-17
244.27,1.29e-17
245.02,1.01e-17
246.21,8.01e-18
246.97,5.39e-18
247.68,6.29e-18
248.89,4.12e-18
249.29,3.26e-18
249.69,2.57e-18
249.86,2.29e-18
250.03,2.09e-18
250.56,1.95e-18
250.64,1.78e-18
251.27,1.64e-18
251.35,1.5e-18
252.25,1.37e-18
252.52,1.26e-18
252.97,1.17e-18
253.7,1.07e-18
253.7,1.07e-18
254.8,9.2e-19
256.19,8.67e-19
257.32,8.22e-19
260.08,8.46e-19
261.05,8.72e-19
262.12,9.08e-19
264.09,8.93e-19
265.69,9.21e-19
266.19,9.87e-19
268.53,9.08e-19
269.36,1.02e-18
270.39,9.92e-19
270.71,9.47e-19
271.54,8.95e-19
272.49,9.82e-19
273.02,9.13e-19
273.87,9.74e-19
275.81,9.43e-19
276.35,8.6e-19
277.33,9.53e-19
277.77,8.72e-19
279.09,8.29e-19
279.53,7.17e-19
280.76,8.9e-19
282.11,7.24e-19
283.82,7.54e-19
285.32,6.67e-19
285.78,6.06e-19
287.77,6.21e-19
288.24,4.77e-19
289.31,5.63e-19
289.78,5.04e-19
290.02,4.22e-19
291.22,4.43e-19
292.19,3.41e-19
293.41,5.12e-19
293.9,3.7e-19
296.25,2.33e-19
297.5,2.95e-19
298.89,2.23e-19
300.42,1.32e-19
301.46,1.78e-19
302.36,1.41e-19
303.93,9.12e-20
305.39,1.26e-19
307.93,5.99e-20
309.69,8.39e-20
312.86,9.06e-21
