λ,σ,uncertainty
285,1.04e-18,5.0e-20
290,5.98e-19,1.0e-21
295,3.31e-19,2.3e-20
300,3.11e-19,2.1e-20
305,3.1e-19,1.7e-20
310,3.03e-19,1.2e-20
315,2.67e-19,4.0e-21
320,2.07e-19,2.1e-20
325,2.0e-19,7.0e-21
330,2.08e-19,6.0e-21
335,1.98e-19,1.0e-20
340,1.92e-19,1.6e-20
345,1.82e-19,1.0e-21
350,1.78e-19,5.0e-21
355,1.5e-19,8.0e-21
360,1.34e-19,1.0e-20
365,1.21e-19,6.0e-21
370,8.28e-20,4.8e-21
375,6.65e-20,5.5e-21
380,5.12e-20,5.7e-21
385,4.36e-20,3.2e-21
390,2.85e-20,3.0e-22
395,2.35e-20,2.7e-21
400,1.8e-20,1.0e-21
