λ,σ,uncertainty
200,7.41e-20,6.0e-21
201,6.08e-20,5.3e-21
202,4.8e-20,4.3e-21
203,3.86e-20,3.6e-21
204,3.14e-20,3.1e-21
205,2.51e-20,3.1e-21
206,2.16e-20,3.0e-21
207,1.83e-20,6.0e-21
208,1.63e-20,2.4e-21
209,1.55e-20,2.4e-21
210,1.48e-20,2.6e-21
215,7.6e-21,1.9e-21
220,4.2e-21,1.6e-21
225,3.2e-21,1.1e-21
230,2.5e-21,6.0e-22
235,2.1e-21,5.0e-22
240,1.8e-21,4.0e-22
245,1.4e-21,3.0e-22
250,1.1e-21,2.0e-22
255,8.0e-22,2.0e-22
260,6.0e-22,1.0e-22
265,5.0e-22,2.0e-22
270,3.0e-22,1.0e-22
275,2.0e-22,1.0e-22
280,1.5e-22,7.0e-23
285,1.4e-22,6.0e-23
290,1.0e-22,5.0e-23
