λ,σ
201.48,7.46e-17
202.38,7.33e-17
202.79,7.17e-17
203.09,7.0e-17
203.29,6.9e-17
203.65,6.72e-17
203.99,6.46e-17
204.3,6.29e-17
204.54,6.08e-17
205.05,5.85e-17
205.35,5.68e-17
205.82,5.51e-17
206.28,5.35e-17
206.96,5.2e-17
207.93,5.24e-17
208.7,5.37e-17
209.2,5.54e-17
209.97,5.76e-17
210.6,6.07e-17
211.22,6.41e-17
211.85,6.76e-17
212.38,7.13e-17
213.18,7.62e-17
213.54,7.93e-17
214.06,8.3e-17
214.81,8.77e-17
215.52,9.38e-17
216.06,9.89e-17
216.65,1.04e-16
217.24,1.08e-16
217.82,1.12e-16
218.45,1.16e-16
219.21,1.21e-16
219.85,1.25e-16
220.42,1.29e-16
220.99,1.32e-16
221.45,1.35e-16
222.07,1.37e-16
222.95,1.39e-16
223.98,1.41e-16
225.16,1.4e-16
225.84,1.39e-16
226.47,1.37e-16
227.09,1.36e-16
227.83,1.35e-16
229.06,1.34e-16
229.52,1.33e-16
230.04,1.31e-16
230.29,1.29e-16
230.58,1.27e-16
230.83,1.25e-16
231.06,1.22e-16
231.25,1.2e-16
231.44,1.17e-16
231.63,1.15e-16
231.77,1.13e-16
231.96,1.11e-16
232.1,1.09e-16
232.17,1.06e-16
232.51,1.03e-16
232.64,9.99e-17
232.93,9.69e-17
233.06,9.43e-17
233.29,9.06e-17
233.52,8.78e-17
233.75,8.43e-17
234.09,8.14e-17
234.34,7.93e-17
234.83,7.51e-17
235.22,7.17e-17
235.72,6.84e-17
236.02,6.67e-17
236.31,6.43e-17
236.93,6.16e-17
237.34,5.99e-17
237.85,5.79e-17
238.37,5.63e-17
238.89,5.47e-17
239.46,5.31e-17
240.25,5.17e-17
240.87,5.01e-17
241.29,4.9e-17
241.86,4.74e-17
242.43,4.59e-17
242.9,4.42e-17
243.93,4.12e-17
244.51,3.96e-17
245.24,3.82e-17
246.25,3.74e-17
247.43,3.78e-17
248.36,3.87e-17
249.43,3.89e-17
250.55,3.81e-17
251.55,3.67e-17
252.27,3.42e-17
252.73,3.19e-17
253.29,2.94e-17
253.84,2.63e-17
254.24,2.34e-17
254.65,2.17e-17
255.05,1.95e-17
255.62,1.71e-17
256.13,1.54e-17
256.6,1.39e-17
257.12,1.23e-17
257.74,1.04e-17
258.42,8.99e-18
259.21,7.56e-18
260.0,6.19e-18
261.06,5.11e-18
262.23,4.38e-18
263.45,3.65e-18
264.69,3.56e-18
265.87,3.75e-18
267.7,4.57e-18
269.26,5.11e-18
270.7,4.8e-18
271.72,4.22e-18
272.94,3.84e-18
275.58,4.93e-18
276.93,5.83e-18
278.19,7.79e-18
279.03,6.15e-18
280.03,4.64e-18
280.82,3.28e-18
281.93,2.48e-18
284.02,2.52e-18
286.71,2.96e-18
288.97,3.42e-18
291.39,4.44e-18
294.13,5.39e-18
296.51,7.26e-18
298.51,8.58e-18
300.61,9.46e-18
302.55,1.06e-17
304.61,1.22e-17
306.34,1.33e-17
307.43,1.49e-17
308.63,1.66e-17
309.55,1.78e-17
310.48,1.9e-17
311.45,2.01e-17
312.74,2.05e-17
313.97,2.02e-17
315.62,1.92e-17
316.53,1.87e-17
317.7,1.82e-17
318.95,1.95e-17
319.5,2.08e-17
320.63,2.12e-17
321.53,2.02e-17
323.26,2.11e-17
323.6,2.32e-17
324.0,2.49e-17
324.28,2.63e-17
325.37,2.8e-17
325.83,3.03e-17
325.96,3.3e-17
326.63,3.48e-17
327.08,3.26e-17
327.39,3.09e-17
327.58,2.89e-17
327.87,2.61e-17
328.26,2.25e-17
328.56,2.08e-17
328.64,1.84e-17
329.04,1.62e-17
329.45,1.45e-17
329.96,1.16e-17
330.37,9.87e-18
330.94,8.3e-18
331.46,6.73e-18
332.19,5.37e-18
333.25,4.36e-18
334.31,3.35e-18
335.38,2.4e-18
336.55,1.68e-18
337.83,1.22e-18
339.81,8.38e-19
