λ,σ,Δσ
195.0,3.141206e-21,NaN
195.5,4.464645e-21,NaN
196.0,5.537902e-21,NaN
196.5,5.767731e-21,NaN
197.0,4.76131e-21,NaN
197.5,5.396037e-21,NaN
198.0,5.360678e-21,NaN
198.5,5.133436e-21,NaN
199.0,4.371074e-21,NaN
199.5,4.221793e-21,NaN
200.0,5.623279e-21,NaN
200.5,5.060132e-21,NaN
201.0,3.665071e-21,NaN
201.5,3.365516e-21,NaN
202.0,4.7971e-21,NaN
202.5,3.686588e-21,NaN
203.0,3.289625e-21,NaN
203.5,3.773216e-21,NaN
204.0,3.788911e-21,NaN
204.5,3.075189e-21,NaN
205.0,1.880679e-21,NaN
205.5,2.275486e-21,NaN
206.0,2.738939e-21,NaN
206.5,2.156862e-21,NaN
207.0,1.727172e-21,NaN
207.5,2.040438e-21,NaN
208.0,1.958165e-21,NaN
208.5,2.633597e-21,NaN
209.0,1.931431e-21,NaN
209.5,1.370569e-21,NaN
210.0,1.146173e-21,NaN
210.5,1.875116e-21,NaN
211.0,1.249316e-21,NaN
211.5,1.61976e-21,NaN
212.0,9.106082e-22,NaN
212.5,8.785269e-22,NaN
213.0,1.237027e-21,NaN
213.5,9.409215e-22,NaN
214.0,5.071343e-22,NaN
214.5,7.662855e-22,NaN
215.0,6.938008e-22,NaN
215.5,1.016597e-21,NaN
216.0,6.154949e-22,NaN
216.5,3.52976e-22,NaN
217.0,5.222694e-23,NaN
217.5,3.671927e-22,NaN
218.0,3.944014e-22,NaN
218.5,1.268935e-22,NaN
219.0,5.118775e-22,NaN
219.5,6.668939e-22,NaN
220.0,4.40902e-22,NaN
220.5,4.741906e-22,NaN
221.0,3.892399e-22,NaN
221.5,5.103683e-22,NaN
222.0,3.967126e-23,NaN
222.5,1.944022e-24,NaN
223.0,1.987832e-22,NaN
223.5,2.33193e-22,NaN
224.0,-1.222581e-22,NaN
224.5,1.793231e-22,NaN
225.0,1.699532e-22,NaN
225.5,2.467542e-22,NaN
226.0,2.200284e-22,NaN
226.5,-9.562291e-23,NaN
227.0,7.749095e-23,NaN
227.5,2.209296e-22,NaN
228.0,2.071355e-23,NaN
228.5,5.491332e-23,NaN
229.0,1.757399e-22,NaN
229.5,1.737865e-22,NaN
230.0,1.132806e-24,NaN
230.5,-1.061528e-22,NaN
231.0,-7.631378e-23,NaN
231.5,-1.930698e-22,NaN
232.0,5.79964e-23,NaN
232.5,-1.305975e-22,NaN
233.0,1.730233e-22,NaN
233.5,1.449393e-23,NaN
234.0,-3.86808e-23,NaN
234.5,1.854376e-22,NaN
235.0,-1.168638e-22,NaN
235.5,-1.242891e-23,NaN
236.0,1.084684e-22,NaN
236.5,-3.25681e-23,NaN
237.0,-3.731346e-24,NaN
237.5,1.675686e-22,NaN
238.0,-3.964668e-24,NaN
238.5,-9.447592e-23,NaN
239.0,-1.008275e-22,NaN
239.5,-4.486205e-24,NaN
240.0,-1.033974e-22,NaN
240.5,-8.583467e-23,NaN
241.0,-1.387731e-23,NaN
241.5,-1.415543e-22,NaN
242.0,-1.493202e-23,NaN
242.5,-6.954394e-23,NaN
243.0,-1.616008e-22,NaN
243.5,-3.039486e-23,NaN
244.0,-1.685259e-23,NaN
244.5,-2.543261e-23,NaN
245.0,-8.242388e-23,NaN
245.5,-1.257767e-22,NaN
246.0,-9.730028e-23,NaN
246.5,1.374838e-23,NaN
247.0,-8.459713e-23,NaN
247.5,-3.91715e-23,NaN
248.0,-9.802901e-23,NaN
248.5,8.311811e-23,NaN
249.0,-1.634895e-22,NaN
249.5,-9.861113e-23,NaN
250.0,-2.36207e-22,NaN
250.5,-5.828962e-23,NaN
251.0,-1.797371e-22,NaN
251.5,-1.054413e-22,NaN
252.0,3.71095e-23,NaN
252.5,-1.345344e-22,NaN
253.0,-6.79485e-24,NaN
253.5,-1.155099e-22,NaN
254.0,-3.166129e-23,NaN
254.5,-2.237022e-22,NaN
255.0,-1.303431e-22,NaN
255.5,-4.358138e-23,NaN
256.0,1.485915e-23,NaN
256.5,-1.868217e-22,NaN
257.0,-1.091281e-22,NaN
257.5,-5.939349e-23,NaN
258.0,1.010129e-22,NaN
258.5,-1.003014e-22,NaN
259.0,9.66621e-24,NaN
259.5,1.647055e-23,NaN
260.0,-4.655235e-23,NaN
