λ,σ
160.5,1.66392e-17
161.0,1.51083e-17
161.5,1.43022e-17
162.0,1.3489e-17
162.5,1.2631e-17
163.0,1.17484e-17
163.5,1.08889e-17
164.0,1.01343e-17
164.5,9.49475e-18
165.0,8.82024e-18
165.5,8.20272e-18
166.0,7.66632e-18
166.5,7.13126e-18
167.0,6.57073e-18
167.5,6.0485e-18
168.0,5.59781e-18
168.5,5.16541e-18
169.0,4.80311e-18
169.5,4.5049e-18
170.0,4.22622e-18
170.5,3.99027e-18
171.0,3.77548e-18
171.5,3.5763e-18
172.0,3.3751e-18
172.5,3.1451e-18
173.0,2.9271e-18
173.5,2.67219e-18
174.0,2.43573e-18
174.5,2.19509e-18
175.0,1.99055e-18
175.5,1.81501e-18
176.0,1.65405e-18
176.5,1.50185e-18
177.0,1.32019e-18
177.5,1.14071e-18
178.0,9.24635e-19
178.5,7.39941e-19
179.0,5.76929e-19
179.5,4.60615e-19
180.0,3.77103e-19
180.5,3.09071e-19
181.0,2.58377e-19
181.5,2.17683e-19
182.0,1.85728e-19
182.5,1.59885e-19
183.0,1.38896e-19
183.5,1.23459e-19
184.0,1.09776e-19
184.5,9.88085e-20
185.0,9.16495e-20
185.5,8.58722e-20
186.0,8.069e-20
186.5,7.89248e-20
187.0,7.62765e-20
187.5,7.48276e-20
188.0,7.5118e-20
188.5,7.5413e-20
189.0,7.63622e-20
189.5,7.86364e-20
190.0,8.11827e-20
190.5,8.37459e-20
191.0,8.70482e-20
191.5,9.09713e-20
192.0,9.45583e-20
192.5,9.85176e-20
193.0,1.02821e-19
193.5,1.07488e-19
194.0,1.12723e-19
194.5,1.17544e-19
195.0,1.22896e-19
195.5,1.28137e-19
196.0,1.33483e-19
196.5,1.39193e-19
197.0,1.4508e-19
197.5,1.50931e-19
198.0,1.5687e-19
198.5,1.63067e-19
199.0,1.69489e-19
199.5,1.75611e-19
200.0,1.81958e-19
200.5,1.88159e-19
201.0,1.94285e-19
201.5,2.00283e-19
202.0,2.06491e-19
202.5,2.12629e-19
203.0,2.18921e-19
203.5,2.23154e-19
204.0,2.2918e-19
204.5,2.34827e-19
205.0,2.40363e-19
205.5,2.4563e-19
206.0,2.506e-19
206.5,2.55477e-19
207.0,2.60214e-19
207.5,2.64564e-19
208.0,2.68703e-19
208.5,2.72793e-19
209.0,2.76497e-19
209.5,2.79788e-19
210.0,2.828e-19
210.5,2.85501e-19
211.0,2.87735e-19
211.5,2.89815e-19
212.0,2.91564e-19
212.5,2.92806e-19
213.0,2.93553e-19
213.5,2.9396e-19
214.0,2.94064e-19
214.5,2.93818e-19
215.0,2.9304e-19
215.5,2.91785e-19
216.0,2.90482e-19
216.5,2.88703e-19
217.0,2.86273e-19
217.5,2.83733e-19
218.0,2.80935e-19
218.5,2.77357e-19
219.0,2.73674e-19
219.5,2.69853e-19
220.0,2.6657e-19
220.5,2.61534e-19
221.0,2.56413e-19
221.5,2.50631e-19
222.0,2.44453e-19
222.5,2.3842e-19
223.0,2.32331e-19
223.5,2.26197e-19
224.0,2.19546e-19
224.5,2.12998e-19
225.0,2.06213e-19
225.5,1.99691e-19
226.0,1.92832e-19
226.5,1.85325e-19
227.0,1.78368e-19
227.5,1.71594e-19
228.0,1.64742e-19
228.5,1.57759e-19
229.0,1.50865e-19
229.5,1.44225e-19
230.0,1.37821e-19
230.5,1.3129e-19
231.0,1.25051e-19
231.5,1.19588e-19
232.0,1.13407e-19
232.5,1.0744e-19
233.0,1.01475e-19
233.5,9.55883e-20
234.0,8.97122e-20
234.5,8.42667e-20
235.0,7.89903e-20
235.5,7.40993e-20
236.0,6.94861e-20
236.5,6.49894e-20
237.0,6.05726e-20
237.5,5.62805e-20
238.0,5.20753e-20
238.5,4.78539e-20
239.0,4.38714e-20
239.5,4.02203e-20
240.0,3.67008e-20
240.5,3.34259e-20
241.0,3.06663e-20
241.5,2.79456e-20
242.0,2.53296e-20
242.5,2.2991e-20
243.0,2.08257e-20
243.5,1.87766e-20
244.0,1.67806e-20
244.5,1.50017e-20
245.0,1.3388e-20
245.5,1.19056e-20
246.0,1.05294e-20
246.5,9.32484e-21
247.0,8.23194e-21
247.5,7.28602e-21
248.0,6.39908e-21
248.5,5.58941e-21
249.0,4.94202e-21
249.5,4.30683e-21
250.0,3.76229e-21
250.5,3.28827e-21
251.0,2.94416e-21
251.5,2.59204e-21
252.0,2.27982e-21
252.5,2.02406e-21
253.0,1.78815e-21
253.5,1.60783e-21
254.0,1.44612e-21
254.5,1.28333e-21
255.0,1.1749e-21
255.5,1.09087e-21
256.0,9.52559e-22
256.5,8.40987e-22
257.0,8.11122e-22
257.5,7.3563e-22
258.0,7.00951e-22
258.5,6.04617e-22
259.0,5.78911e-22
259.5,5.48277e-22
260.0,5.56103e-22
