λ,σ,Δσ
753.012,9.28e-47,2.8e-48
753.58,9.97e-47,2.8e-48
754.148,1.07e-46,2.8e-48
754.717,1.15e-46,2.8e-48
755.287,1.23e-46,2.8e-48
755.858,1.32e-46,2.8e-48
756.43,1.41e-46,2.8e-48
757.002,1.54e-46,2.8e-48
757.576,1.66e-46,2.8e-48
757.863,1.73e-46,2.8e-48
758.15,1.87e-46,2.8e-48
758.438,1.99e-46,2.8e-48
759.013,2.52e-46,4.2e-48
759.301,3.19e-46,5.5e-48
762.021,8.45e-46,1.4e-47
762.079,8.31e-46,1.4e-47
762.137,9.28e-46,1.4e-47
762.428,2.23e-45,4.2e-47
762.439,2.3e-45,4.2e-47
762.788,2.81e-45,4.2e-47
762.811,3.03e-45,4.2e-47
763.161,2.94e-45,4.2e-47
763.184,2.92e-45,4.2e-47
763.557,2.8e-45,4.2e-47
763.58,2.66e-45,4.2e-47
763.989,2.31e-45,4.2e-47
764.0,2.24e-45,4.2e-47
764.444,1.8e-45,2.8e-47
764.514,2.02e-45,2.8e-47
764.9,1.39e-45,2.8e-47
764.994,1.45e-45,2.8e-47
765.369,1.07e-45,2.1e-47
765.931,6.1e-46,1.4e-47
766.46,3.96e-46,1.1e-47
767.018,2.55e-46,6.9e-48
767.578,1.76e-46,5.5e-48
768.167,1.22e-46,4.2e-48
768.262,1.22e-46,4.2e-48
768.864,8.87e-47,2.8e-48
768.982,8.87e-47,2.8e-48
769.527,7.27e-47,2.1e-48
770.108,5.54e-47,2.8e-48
770.38,5.13e-47,2.8e-48
771.069,3.74e-47,1.4e-48
