λ,σ,Δσ
278.5,3.39e-18,NaN
279.1,8.35e-18,NaN
279.6,3.14e-18,NaN
280.2,6.83e-18,NaN
280.7,1.76e-18,NaN
281.3,3.29e-18,NaN
281.9,4.94e-18,NaN
282.4,5.52e-18,NaN
283.0,2.07e-18,NaN
283.5,3.94e-18,NaN
284.1,7.32e-18,NaN
284.7,5.07e-18,NaN
285.2,4.57e-18,NaN
285.8,4.55e-18,NaN
286.3,4.47e-18,NaN
286.9,8.43e-18,NaN
287.5,7.85e-18,NaN
288.0,6.43e-18,NaN
288.6,4.53e-18,NaN
289.1,2.87e-18,NaN
289.7,4.03e-18,NaN
290.3,6.2e-18,NaN
290.8,6.93e-18,NaN
291.4,5.59e-18,NaN
291.9,6.04e-18,NaN
292.5,6.48e-18,NaN
293.0,9.18e-18,NaN
293.6,6.78e-18,NaN
294.2,5.6e-18,NaN
294.7,5.77e-18,NaN
295.3,6.87e-18,NaN
295.8,9.59e-18,NaN
296.4,9.05e-18,NaN
297.0,8.24e-18,NaN
297.5,9.54e-18,NaN
298.1,7.28e-18,NaN
298.6,8.52e-18,NaN
299.2,9.32e-18,NaN
299.8,9.96e-18,NaN
300.3,9.16e-18,NaN
300.9,7.35e-18,NaN
301.4,7.62e-18,NaN
302.0,1.05e-17,NaN
302.5,1.05e-17,NaN
303.1,8.94e-18,NaN
303.7,9.47e-18,NaN
304.2,1.17e-17,NaN
304.8,1.12e-17,NaN
305.3,9.89e-18,NaN
305.9,9.05e-18,NaN
306.5,1.2e-17,NaN
307.0,1.31e-17,NaN
307.6,1.27e-17,NaN
308.1,1.3e-17,NaN
308.7,1.27e-17,NaN
309.3,1.34e-17,NaN
309.8,1.41e-17,NaN
310.4,1.44e-17,NaN
310.9,1.29e-17,NaN
311.5,1.39e-17,NaN
312.1,1.41e-17,NaN
312.6,1.33e-17,NaN
313.2,1.41e-17,NaN
313.7,1.54e-17,NaN
314.3,1.49e-17,NaN
314.8,1.5e-17,NaN
315.4,1.45e-17,NaN
316.0,1.54e-17,NaN
316.5,1.46e-17,NaN
317.1,1.49e-17,NaN
317.6,1.73e-17,NaN
318.2,1.57e-17,NaN
318.8,1.63e-17,NaN
319.3,1.76e-17,NaN
319.9,1.73e-17,NaN
320.4,1.71e-17,NaN
321.0,1.63e-17,NaN
321.6,1.68e-17,NaN
322.1,1.68e-17,NaN
322.7,1.78e-17,NaN
323.2,1.62e-17,NaN
323.8,1.78e-17,NaN
324.3,1.68e-17,NaN
324.9,1.75e-17,NaN
325.5,1.68e-17,NaN
326.0,1.67e-17,NaN
326.6,1.67e-17,NaN
327.1,1.75e-17,NaN
327.7,1.75e-17,NaN
328.3,1.81e-17,NaN
328.8,1.77e-17,NaN
329.4,1.8e-17,NaN
329.9,1.76e-17,NaN
330.5,1.76e-17,NaN
331.1,1.74e-17,NaN
331.6,1.67e-17,NaN
332.2,1.71e-17,NaN
332.7,1.79e-17,NaN
333.3,1.81e-17,NaN
333.9,1.8e-17,NaN
334.4,1.76e-17,NaN
335.0,1.69e-17,NaN
335.5,1.69e-17,NaN
336.1,1.61e-17,NaN
336.6,1.66e-17,NaN
337.2,1.65e-17,NaN
337.8,1.62e-17,NaN
338.3,1.7e-17,NaN
338.9,1.66e-17,NaN
339.4,1.59e-17,NaN
340.0,1.66e-17,NaN
340.6,1.65e-17,NaN
341.1,1.58e-17,NaN
341.7,1.62e-17,NaN
342.2,1.55e-17,NaN
342.8,1.55e-17,NaN
343.4,1.52e-17,NaN
343.9,1.44e-17,NaN
344.5,1.37e-17,NaN
345.0,1.51e-17,NaN
345.6,1.45e-17,NaN
346.1,1.3e-17,NaN
346.7,1.27e-17,NaN
347.3,1.28e-17,NaN
347.8,1.27e-17,NaN
348.4,1.09e-17,NaN
348.9,1.13e-17,NaN
349.5,1.13e-17,NaN
350.1,1.18e-17,NaN
350.6,1.13e-17,NaN
351.2,1.06e-17,NaN
351.7,1.07e-17,NaN
352.3,9.43e-18,NaN
352.9,9.64e-18,NaN
353.4,8.87e-18,NaN
354.0,8.49e-18,NaN
354.5,8.07e-18,NaN
355.1,7.25e-18,NaN
355.7,7.06e-18,NaN
356.2,8.84e-18,NaN
356.8,8.01e-18,NaN
357.3,7.32e-18,NaN
357.9,7.42e-18,NaN
358.4,7.15e-18,NaN
359.0,7.49e-18,NaN
359.6,6.5e-18,NaN
360.1,6.8e-18,NaN
360.7,6.42e-18,NaN
361.2,5.43e-18,NaN
361.8,6.26e-18,NaN
362.4,5.25e-18,NaN
362.9,6.05e-18,NaN
363.5,5.47e-18,NaN
364.0,5.37e-18,NaN
364.6,5.38e-18,NaN
365.2,5.13e-18,NaN
365.7,5.36e-18,NaN
366.3,5.52e-18,NaN
366.8,4.29e-18,NaN
368.0,4.83e-18,NaN
368.5,4.62e-18,NaN
369.1,3.62e-18,NaN
369.6,3.3e-18,NaN
370.2,3.67e-18,NaN
370.7,3.67e-18,NaN
371.3,3.6e-18,NaN
371.9,2.72e-18,NaN
372.4,3.03e-18,NaN
373.0,3.22e-18,NaN
373.5,2.93e-18,NaN
374.1,2.3e-18,NaN
374.7,2.91e-18,NaN
375.2,2.25e-18,NaN
375.8,2.04e-18,NaN
376.3,2.55e-18,NaN
376.9,2.01e-18,NaN
377.5,3.08e-18,NaN
378.0,2.29e-18,NaN
378.6,2.23e-18,NaN
379.1,2.63e-18,NaN
379.7,1.68e-18,NaN
380.2,2.36e-18,NaN
380.8,1.29e-18,NaN
381.4,1.58e-18,NaN
381.9,2.15e-18,NaN
382.5,1.62e-18,NaN
383.0,9.0e-19,NaN
383.6,1.17e-18,NaN
384.2,1.2e-18,NaN
384.7,1.47e-18,NaN
385.3,7.6e-19,NaN
385.8,1.24e-18,NaN
386.4,9.8e-19,NaN
387.0,7.6e-19,NaN
387.5,4.1e-19,NaN
388.1,7.7e-19,NaN
388.6,7.9e-19,NaN
389.2,5.1e-19,NaN
389.8,4.5e-19,NaN
390.3,1.0e-19,NaN
