λ,σ,Δσ
244.8,8.73e-18,NaN
245.9,9.32e-18,NaN
246.6,9.24e-18,NaN
247.8,9.74e-18,NaN
248.2,9.56e-18,NaN
249.0,1.01e-17,NaN
249.5,9.81e-18,NaN
250.0,1.02e-17,NaN
250.8,9.89e-18,NaN
251.9,1.04e-17,NaN
252.9,1.01e-17,NaN
253.9,1.04e-17,NaN
254.6,9.95e-18,NaN
255.3,1.06e-17,NaN
256.6,9.89e-18,NaN
257.2,1.02e-17,NaN
257.9,9.89e-18,NaN
258.7,1.04e-17,NaN
259.8,9.46e-18,NaN
260.6,9.99e-18,NaN
261.7,9.21e-18,NaN
262.4,9.48e-18,NaN
263.5,8.72e-18,NaN
264.3,9.06e-18,NaN
265.2,8.39e-18,NaN
265.6,8.65e-18,NaN
267.1,7.73e-18,NaN
267.6,8.06e-18,NaN
269.3,7.15e-18,NaN
269.7,7.32e-18,NaN
271.0,6.98e-18,NaN
271.7,6.84e-18,NaN
273.1,6.32e-18,NaN
273.8,6.0e-18,NaN
274.8,5.72e-18,NaN
275.4,5.38e-18,NaN
275.9,5.22e-18,NaN
277.3,4.74e-18,NaN
278.4,4.31e-18,NaN
279.9,3.79e-18,NaN
280.9,3.42e-18,NaN
282.3,3.07e-18,NaN
283.3,2.88e-18,NaN
284.1,2.55e-18,NaN
284.5,2.49e-18,NaN
285.9,2.14e-18,NaN
286.4,2.04e-18,NaN
287.1,1.9e-18,NaN
287.4,1.83e-18,NaN
289.2,1.47e-18,NaN
289.7,1.39e-18,NaN
290.6,1.25e-18,NaN
291.4,1.05e-18,NaN
291.8,9.78e-19,NaN
292.6,8.91e-19,NaN
293.1,8.44e-19,NaN
294.1,7.49e-19,NaN
294.6,7.02e-19,NaN
295.9,6.2e-19,NaN
296.7,5.48e-19,NaN
297.3,5.03e-19,NaN
297.7,4.61e-19,NaN
298.2,4.34e-19,NaN
298.7,4.13e-19,NaN
299.8,3.5e-19,NaN
300.4,3.27e-19,NaN
301.6,2.77e-19,NaN
302.9,2.24e-19,NaN
303.6,2.11e-19,NaN
303.7,2.18e-19,NaN
305.1,1.57e-19,NaN
305.3,1.61e-19,NaN
305.9,1.52e-19,NaN
306.1,1.57e-19,NaN
307.5,1.2e-19,NaN
307.7,1.25e-19,NaN
308.3,1.13e-19,NaN
308.5,1.14e-19,NaN
309.8,8.65e-20,NaN
310.0,9.08e-20,NaN
310.9,7.61e-20,NaN
311.2,7.92e-20,NaN
