λ,σ,Δσ
189.67,1.09e-19,NaN
191.43,9.9e-20,NaN
193.18,8.9e-20,NaN
194.94,7.95e-20,NaN
196.5,7.1e-20,NaN
198.06,6.3e-20,NaN
199.62,5.62e-20,NaN
201.27,5.02e-20,NaN
202.83,4.46e-20,NaN
204.39,3.95e-20,NaN
205.95,3.51e-20,NaN
207.41,3.11e-20,NaN
209.07,2.8e-20,NaN
210.53,2.47e-20,NaN
212.09,2.19e-20,NaN
213.65,1.96e-20,NaN
215.11,1.72e-20,NaN
216.97,1.55e-20,NaN
218.33,1.37e-20,NaN
219.79,1.21e-20,NaN
221.35,1.08e-20,NaN
222.62,9.43e-21,NaN
223.98,8.32e-21,NaN
225.64,7.47e-21,NaN
227.2,6.63e-21,NaN
228.46,5.85e-21,NaN
229.63,5.13e-21,NaN
231.09,4.55e-21,NaN
232.56,4.11e-21,NaN
234.31,3.72e-21,NaN
235.87,3.36e-21,NaN
237.33,2.95e-21,NaN
237.82,2.6e-21,NaN
238.5,2.28e-21,NaN
239.18,2.37e-21,NaN
239.67,2.29e-21,NaN
240.26,2.34e-21,NaN
240.74,1.91e-21,NaN
