λ,σ
140.31,5.51e-19
140.51,5.32e-19
140.8,5.14e-19
140.91,5.52e-19
141.17,5.77e-19
141.32,5.57e-19
141.8,5.64e-19
142.0,5.39e-19
142.18,5.95e-19
142.35,6.05e-19
142.49,6.33e-19
142.62,5.58e-19
142.65,5.5e-19
143.05,5.23e-19
143.13,5.57e-19
143.22,5.86e-19
143.44,6.11e-19
143.67,6.26e-19
143.73,6.02e-19
143.74,5.58e-19
143.78,5.8e-19
144.01,5.42e-19
144.17,5.63e-19
144.24,5.89e-19
144.4,6.03e-19
144.45,6.25e-19
144.64,6.38e-19
144.81,6.17e-19
144.96,5.8e-19
145.19,5.59e-19
145.56,5.98e-19
145.57,5.97e-19
145.65,6.36e-19
145.79,6.74e-19
145.97,6.22e-19
146.1,5.74e-19
146.36,5.08e-19
146.59,5.57e-19
146.6,6.0e-19
146.74,6.47e-19
146.89,7.01e-19
147.03,6.54e-19
147.11,6.12e-19
147.14,5.59e-19
147.3,5.29e-19
147.55,5.61e-19
147.72,5.85e-19
147.87,5.59e-19
148.03,6.03e-19
148.26,6.33e-19
148.35,5.99e-19
148.42,5.66e-19
148.67,5.43e-19
148.96,5.2e-19
149.04,5.56e-19
149.12,5.92e-19
149.36,6.05e-19
149.6,5.93e-19
149.77,5.67e-19
149.83,5.39e-19
149.96,5.03e-19
150.18,4.69e-19
150.29,5.14e-19
150.4,5.59e-19
150.59,5.9e-19
150.69,5.58e-19
151.01,5.39e-19
151.05,5.3e-19
151.25,4.72e-19
151.53,5.02e-19
151.69,5.39e-19
151.77,5.11e-19
152.01,5.11e-19
152.07,4.77e-19
152.27,4.4e-19
152.68,4.46e-19
152.92,4.45e-19
153.06,4.73e-19
153.3,4.58e-19
153.33,4.22e-19
153.53,3.92e-19
153.9,3.68e-19
154.04,3.97e-19
154.27,4.29e-19
154.45,4.02e-19
154.56,3.63e-19
154.82,3.71e-19
154.87,3.44e-19
154.95,3.2e-19
155.34,3.16e-19
155.4,3.49e-19
155.5,3.71e-19
155.84,3.44e-19
156.06,3.43e-19
156.11,3.24e-19
156.19,2.98e-19
156.43,2.85e-19
156.84,2.91e-19
157.13,2.94e-19
157.31,2.68e-19
157.39,2.34e-19
157.68,2.19e-19
158.04,2.47e-19
158.32,2.62e-19
158.57,2.47e-19
158.74,2.2e-19
158.97,1.9e-19
159.36,1.72e-19
159.64,2.05e-19
160.01,1.83e-19
160.18,1.63e-19
160.47,1.63e-19
160.81,1.37e-19
161.05,1.58e-19
161.32,1.54e-19
161.58,1.48e-19
161.71,1.33e-19
162.0,1.26e-19
162.36,1.33e-19
162.63,1.2e-19
162.94,1.18e-19
163.21,9.75e-20
163.6,8.25e-20
164.16,8.0e-20
164.67,7.74e-20
165.06,6.07e-20
165.57,5.64e-20
166.15,6.09e-20
166.63,4.96e-20
167.16,4.61e-20
167.64,5.33e-20
168.15,4.1e-20
168.62,3.14e-20
169.12,2.97e-20
169.66,2.54e-20
170.09,1.58e-20
170.65,1.77e-20
171.23,1.51e-20
171.78,1.35e-20
172.36,1.45e-20
172.94,1.02e-20
173.69,7.69e-21
174.39,6.06e-21
175.0,5.3e-21
