λ,σ,Δσ
200.0,1.35e-20,1.13e-21
201.0,5.8e-21,1.01e-21
202.0,3.93e-21,9.14e-22
203.0,2.45e-21,8.34e-22
204.0,1.77e-21,7.63e-22
205.0,1.57e-21,6.99e-22
206.0,1.48e-21,6.42e-22
207.0,1.42e-21,5.92e-22
208.0,1.38e-21,5.48e-22
209.0,1.37e-21,5.11e-22
210.0,1.36e-21,4.79e-22
211.0,1.39e-21,4.52e-22
212.0,1.42e-21,4.29e-22
213.0,1.5e-21,4.1e-22
214.0,1.58e-21,3.93e-22
215.0,1.65e-21,3.78e-22
216.0,1.72e-21,3.65e-22
217.0,1.78e-21,3.53e-22
218.0,1.9e-21,3.42e-22
219.0,2.03e-21,3.33e-22
220.0,2.17e-21,3.25e-22
221.0,2.35e-21,3.18e-22
222.0,2.55e-21,3.11e-22
223.0,2.76e-21,3.05e-22
224.0,3.0e-21,3.0e-22
225.0,3.28e-21,2.95e-22
226.0,3.58e-21,2.91e-22
227.0,3.92e-21,2.88e-22
228.0,4.29e-21,2.85e-22
229.0,4.7e-21,2.83e-22
230.0,5.14e-21,2.82e-22
231.0,5.63e-21,2.81e-22
232.0,6.16e-21,2.81e-22
233.0,6.74e-21,2.82e-22
234.0,7.37e-21,2.84e-22
235.0,8.06e-21,2.87e-22
236.0,8.81e-21,2.92e-22
237.0,9.61e-21,2.97e-22
238.0,1.04e-20,3.03e-22
239.0,1.14e-20,3.1e-22
240.0,1.23e-20,3.19e-22
241.0,1.34e-20,3.28e-22
242.0,1.45e-20,3.4e-22
243.0,1.56e-20,3.51e-22
244.0,1.68e-20,3.64e-22
245.0,1.8e-20,3.79e-22
246.0,1.93e-20,3.94e-22
247.0,2.07e-20,4.12e-22
248.0,2.22e-20,4.3e-22
249.0,2.36e-20,4.48e-22
250.0,2.5e-20,4.66e-22
251.0,2.64e-20,4.86e-22
252.0,2.81e-20,5.08e-22
253.0,2.97e-20,5.31e-22
254.0,3.14e-20,5.54e-22
255.0,3.29e-20,5.76e-22
256.0,3.43e-20,5.96e-22
257.0,3.58e-20,6.18e-22
258.0,3.74e-20,6.41e-22
259.0,3.91e-20,6.66e-22
260.0,4.08e-20,6.92e-22
261.0,4.24e-20,7.14e-22
262.0,4.36e-20,7.33e-22
263.0,4.47e-20,7.49e-22
264.0,4.58e-20,7.66e-22
265.0,4.72e-20,7.86e-22
266.0,4.86e-20,8.08e-22
267.0,5.0e-20,8.29e-22
268.0,5.11e-20,8.46e-22
269.0,5.18e-20,8.57e-22
270.0,5.23e-20,8.64e-22
271.0,5.27e-20,8.7e-22
272.0,5.32e-20,8.78e-22
273.0,5.38e-20,8.87e-22
274.0,5.45e-20,8.97e-22
275.0,5.49e-20,9.04e-22
276.0,5.5e-20,9.06e-22
277.0,5.48e-20,9.02e-22
278.0,5.44e-20,8.97e-22
279.0,5.4e-20,8.91e-22
280.0,5.37e-20,8.85e-22
281.0,5.33e-20,8.8e-22
282.0,5.28e-20,8.72e-22
283.0,5.2e-20,8.6e-22
284.0,5.1e-20,8.45e-22
285.0,4.99e-20,8.28e-22
286.0,4.87e-20,8.11e-22
287.0,4.77e-20,7.96e-22
288.0,4.68e-20,7.82e-22
289.0,4.58e-20,7.67e-22
290.0,4.46e-20,7.49e-22
291.0,4.3e-20,7.25e-22
292.0,4.11e-20,6.97e-22
293.0,3.91e-20,6.67e-22
294.0,3.71e-20,6.39e-22
295.0,3.54e-20,6.14e-22
296.0,3.4e-20,5.94e-22
297.0,3.28e-20,5.76e-22
298.0,3.16e-20,5.59e-22
299.0,3.01e-20,5.39e-22
300.0,2.84e-20,5.15e-22
301.0,2.65e-20,4.89e-22
302.0,2.44e-20,4.61e-22
303.0,2.24e-20,4.35e-22
304.0,2.05e-20,4.11e-22
305.0,1.89e-20,3.9e-22
306.0,1.74e-20,3.73e-22
307.0,1.61e-20,3.59e-22
308.0,1.49e-20,3.45e-22
309.0,1.37e-20,3.33e-22
310.0,1.25e-20,3.2e-22
311.0,1.11e-20,3.08e-22
312.0,9.85e-21,2.97e-22
313.0,8.62e-21,2.87e-22
314.0,7.51e-21,2.79e-22
315.0,6.52e-21,2.73e-22
316.0,5.65e-21,2.68e-22
317.0,4.86e-21,2.64e-22
318.0,4.16e-21,2.61e-22
319.0,3.53e-21,2.59e-22
320.0,2.98e-21,2.58e-22
321.0,2.48e-21,2.57e-22
322.0,2.05e-21,2.56e-22
323.0,1.68e-21,2.55e-22
324.0,1.37e-21,2.55e-22
325.0,1.13e-21,2.55e-22
326.0,9.3e-22,2.55e-22
327.0,7.68e-22,2.55e-22
