λ,σ,Δσ
101.0,6.66e-17,NaN
101.03,6.66e-17,NaN
101.06,6.66e-17,NaN
101.1,6.64e-17,NaN
101.13,6.63e-17,NaN
101.16,6.61e-17,NaN
101.2,6.61e-17,NaN
101.23,6.6e-17,NaN
101.27,6.6e-17,NaN
101.3,6.6e-17,NaN
101.33,6.6e-17,NaN
101.37,6.6e-17,NaN
101.4,6.6e-17,NaN
101.43,6.6e-17,NaN
101.47,6.59e-17,NaN
101.5,6.57e-17,NaN
101.53,6.57e-17,NaN
101.57,6.57e-17,NaN
101.6,6.58e-17,NaN
101.64,6.59e-17,NaN
101.67,6.59e-17,NaN
101.7,6.6e-17,NaN
101.74,6.61e-17,NaN
101.77,6.61e-17,NaN
101.81,6.62e-17,NaN
101.84,6.63e-17,NaN
101.87,6.64e-17,NaN
101.91,6.65e-17,NaN
101.94,6.64e-17,NaN
101.97,6.63e-17,NaN
102.01,6.61e-17,NaN
102.04,6.59e-17,NaN
102.08,6.59e-17,NaN
102.11,6.59e-17,NaN
102.15,6.59e-17,NaN
102.18,6.54e-17,NaN
102.21,6.54e-17,NaN
102.25,6.54e-17,NaN
102.28,6.54e-17,NaN
102.32,6.54e-17,NaN
102.35,6.54e-17,NaN
102.38,6.52e-17,NaN
102.42,6.48e-17,NaN
102.45,6.47e-17,NaN
102.49,6.47e-17,NaN
102.52,6.47e-17,NaN
102.56,6.47e-17,NaN
102.59,6.48e-17,NaN
102.63,6.49e-17,NaN
102.66,6.5e-17,NaN
102.69,6.5e-17,NaN
102.73,6.51e-17,NaN
102.76,6.5e-17,NaN
102.8,6.49e-17,NaN
102.83,6.48e-17,NaN
102.87,6.47e-17,NaN
102.9,6.44e-17,NaN
102.94,6.43e-17,NaN
102.97,6.43e-17,NaN
103.01,6.42e-17,NaN
103.04,6.42e-17,NaN
103.08,6.42e-17,NaN
103.11,6.42e-17,NaN
103.14,6.42e-17,NaN
103.18,6.4e-17,NaN
103.21,6.35e-17,NaN
103.25,6.31e-17,NaN
103.28,6.31e-17,NaN
103.32,6.3e-17,NaN
103.35,6.3e-17,NaN
103.39,6.3e-17,NaN
103.42,6.31e-17,NaN
103.46,6.31e-17,NaN
103.49,6.31e-17,NaN
103.53,6.3e-17,NaN
103.56,6.29e-17,NaN
103.6,6.23e-17,NaN
103.63,6.21e-17,NaN
103.67,6.21e-17,NaN
103.7,6.21e-17,NaN
103.74,6.21e-17,NaN
103.78,6.2e-17,NaN
103.81,6.18e-17,NaN
103.85,6.11e-17,NaN
103.88,6.07e-17,NaN
103.92,6.07e-17,NaN
103.95,6.07e-17,NaN
103.99,6.08e-17,NaN
104.02,6.08e-17,NaN
104.06,6.07e-17,NaN
104.09,6.08e-17,NaN
104.13,6.13e-17,NaN
104.16,6.15e-17,NaN
104.2,6.15e-17,NaN
104.24,6.14e-17,NaN
104.27,6.07e-17,NaN
104.31,5.96e-17,NaN
104.34,5.92e-17,NaN
104.38,5.9e-17,NaN
104.41,5.9e-17,NaN
104.45,5.9e-17,NaN
104.48,5.9e-17,NaN
104.52,5.89e-17,NaN
104.56,5.9e-17,NaN
104.59,5.92e-17,NaN
104.63,5.93e-17,NaN
104.66,5.92e-17,NaN
104.7,5.9e-17,NaN
104.74,5.86e-17,NaN
104.77,5.8e-17,NaN
104.81,5.79e-17,NaN
104.84,5.79e-17,NaN
104.88,5.8e-17,NaN
104.91,5.83e-17,NaN
104.95,5.83e-17,NaN
104.99,5.83e-17,NaN
105.02,5.74e-17,NaN
105.06,5.68e-17,NaN
105.1,5.67e-17,NaN
105.13,5.68e-17,NaN
105.17,5.85e-17,NaN
105.2,5.89e-17,NaN
105.24,5.94e-17,NaN
105.28,5.94e-17,NaN
105.31,5.94e-17,NaN
105.35,5.94e-17,NaN
105.39,5.92e-17,NaN
105.42,5.86e-17,NaN
105.46,5.78e-17,NaN
105.49,5.7e-17,NaN
105.53,5.69e-17,NaN
105.57,5.68e-17,NaN
105.6,5.73e-17,NaN
105.64,5.75e-17,NaN
105.68,5.75e-17,NaN
105.71,5.74e-17,NaN
105.75,5.74e-17,NaN
105.79,5.74e-17,NaN
105.82,5.73e-17,NaN
105.86,5.71e-17,NaN
105.9,5.71e-17,NaN
105.93,5.7e-17,NaN
105.97,5.69e-17,NaN
106.01,5.66e-17,NaN
106.04,5.55e-17,NaN
106.08,5.48e-17,NaN
106.12,5.46e-17,NaN
106.15,5.45e-17,NaN
106.19,5.31e-17,NaN
106.23,5.29e-17,NaN
106.26,5.28e-17,NaN
106.3,5.32e-17,NaN
106.34,5.39e-17,NaN
106.38,5.48e-17,NaN
106.41,5.56e-17,NaN
106.45,5.61e-17,NaN
106.49,5.66e-17,NaN
106.52,5.71e-17,NaN
106.56,5.75e-17,NaN
106.6,5.78e-17,NaN
106.64,5.83e-17,NaN
106.67,5.86e-17,NaN
106.71,5.91e-17,NaN
106.75,5.93e-17,NaN
106.78,6.04e-17,NaN
106.82,6.04e-17,NaN
106.86,6.04e-17,NaN
106.9,6.02e-17,NaN
106.93,5.87e-17,NaN
106.97,5.81e-17,NaN
107.01,5.76e-17,NaN
107.05,5.73e-17,NaN
107.08,5.71e-17,NaN
107.12,5.69e-17,NaN
107.16,5.65e-17,NaN
107.2,5.59e-17,NaN
107.23,5.52e-17,NaN
107.27,5.48e-17,NaN
107.31,5.28e-17,NaN
107.35,5.23e-17,NaN
107.38,5.19e-17,NaN
107.42,5.14e-17,NaN
107.46,5.15e-17,NaN
107.5,5.19e-17,NaN
107.54,5.3e-17,NaN
107.57,5.37e-17,NaN
107.61,5.39e-17,NaN
107.65,5.39e-17,NaN
107.69,5.39e-17,NaN
107.73,5.37e-17,NaN
107.76,5.33e-17,NaN
107.8,5.28e-17,NaN
107.84,5.28e-17,NaN
107.88,5.28e-17,NaN
107.92,5.22e-17,NaN
107.95,5.22e-17,NaN
107.99,5.21e-17,NaN
108.03,5.21e-17,NaN
108.07,5.32e-17,NaN
108.11,5.41e-17,NaN
108.14,5.47e-17,NaN
108.18,5.49e-17,NaN
108.22,5.52e-17,NaN
108.26,5.54e-17,NaN
108.3,5.56e-17,NaN
108.34,5.62e-17,NaN
108.37,5.68e-17,NaN
108.41,5.76e-17,NaN
