λ,σ,Δσ
290.0,7.5e-25,1.3e-25
291.0,4.8e-25,3.0e-26
292.0,6.2e-25,1.3e-25
293.0,6.4e-25,3.0e-26
294.0,7.2e-25,4.0e-26
295.0,7.4e-25,7.0e-26
296.0,6.3e-25,8.0e-26
297.0,6.0e-25,2.0e-25
298.0,5.2e-25,4.0e-26
299.0,5.3e-25,2.0e-25
300.0,4.2e-25,5.0e-26
301.0,4.6e-25,4.0e-26
302.0,5.1e-25,7.0e-26
303.0,5.7e-25,3.0e-26
304.0,6.0e-25,4.0e-26
305.0,6.4e-25,2.0e-26
306.0,8.8e-25,4.0e-26
307.0,6.2e-25,7.0e-26
308.0,7.7e-25,2.0e-26
309.0,8.9e-25,3.0e-26
310.0,7.2e-25,2.0e-26
311.0,5.6e-25,6.0e-26
312.0,5.3e-25,5.0e-26
313.0,4.2e-25,2.0e-26
314.0,4.7e-25,1.0e-26
315.0,5.0e-25,9.0e-26
316.0,4.1e-25,1.0e-25
317.0,4.4e-25,8.0e-26
318.0,4.7e-25,4.0e-26
319.0,3.9e-25,3.0e-26
320.0,5.0e-25,4.0e-26
321.0,3.3e-25,1.0e-26
322.0,2.8e-25,8.0e-26
323.0,3.7e-25,4.0e-26
324.0,4.9e-25,1.0e-26
325.0,4.8e-25,4.0e-26
326.0,4.5e-25,2.0e-26
327.0,2.9e-25,1.0e-26
328.0,3.1e-25,4.0e-26
329.0,2.3e-25,2.0e-26
330.0,2.2e-25,2.0e-26
331.0,2.4e-25,7.0e-26
332.0,2.5e-25,3.0e-26
333.0,1.6e-25,1.0e-26
334.0,1.8e-25,2.0e-26
335.0,1.9e-25,2.0e-26
336.0,1.8e-25,2.0e-26
337.0,1.6e-25,1.0e-26
338.0,1.9e-25,4.0e-26
339.0,1.8e-25,1.0e-26
340.0,2.2e-25,2.0e-26
341.0,1.7e-25,4.0e-26
342.0,2.0e-25,1.0e-26
343.0,2.1e-25,4.0e-26
344.0,2.0e-25,3.0e-26
345.0,1.6e-25,3.0e-26
346.0,1.7e-25,3.0e-26
347.0,1.7e-25,4.0e-26
348.0,1.6e-25,1.0e-26
349.0,1.7e-25,3.0e-26
350.0,1.7e-25,1.0e-26
