λ,σ,Δσ
65.0,2.23e-17,NaN
66.75,2.25e-17,NaN
67.6,2.25e-17,NaN
68.48,2.28e-17,NaN
69.28,2.23e-17,NaN
69.6,2.23e-17,NaN
70.25,2.23e-17,NaN
70.6,2.23e-17,NaN
71.2,2.23e-17,NaN
72.6,2.24e-17,NaN
73.5,2.17e-17,NaN
74.34,2.08e-17,NaN
75.3,1.94e-17,NaN
76.2,1.81e-17,NaN
76.82,1.74e-17,NaN
77.42,1.73e-17,NaN
78.6,1.65e-17,NaN
79.42,1.64e-17,NaN
80.5,1.58e-17,NaN
80.92,1.64e-17,NaN
81.4,1.64e-17,NaN
81.85,1.68e-17,NaN
81.94,1.68e-17,NaN
82.38,1.72e-17,NaN
82.41,1.71e-17,NaN
82.47,1.71e-17,NaN
82.87,1.78e-17,NaN
83.0,1.73e-17,NaN
83.42,1.82e-17,NaN
83.52,1.79e-17,NaN
83.92,1.85e-17,NaN
84.09,1.82e-17,NaN
84.44,1.93e-17,NaN
84.66,1.83e-17,NaN
84.77,1.69e-17,NaN
85.02,2.02e-17,NaN
85.12,1.94e-17,NaN
85.54,2.04e-17,NaN
85.62,2.02e-17,NaN
85.94,1.89e-17,NaN
86.1,2.11e-17,NaN
86.19,2.03e-17,NaN
86.55,2.02e-17,NaN
86.65,2.19e-17,NaN
87.21,2.29e-17,NaN
87.5,2.0e-17,NaN
87.8,2.29e-17,NaN
88.15,2.14e-17,NaN
88.36,2.31e-17,NaN
88.61,2.2e-17,NaN
88.72,2.21e-17,NaN
88.92,2.4e-17,NaN
89.2,2.23e-17,NaN
89.33,2.23e-17,NaN
89.52,2.37e-17,NaN
89.6,2.26e-17,NaN
89.75,2.22e-17,NaN
89.91,2.18e-17,NaN
90.15,2.42e-17,NaN
90.32,2.33e-17,NaN
90.73,2.46e-17,NaN
90.85,2.36e-17,NaN
91.35,2.47e-17,NaN
91.48,2.31e-17,NaN
91.97,2.47e-17,NaN
92.18,2.34e-17,NaN
92.3,2.16e-17,NaN
92.4,2.23e-17,NaN
92.6,2.56e-17,NaN
93.02,2.28e-17,NaN
93.22,2.5e-17,NaN
93.34,2.38e-17,NaN
93.66,2.28e-17,NaN
93.86,2.41e-17,NaN
94.1,2.14e-17,NaN
94.3,2.12e-17,NaN
94.48,2.34e-17,NaN
94.61,2.17e-17,NaN
94.92,1.92e-17,NaN
95.2,1.98e-17,NaN
95.33,1.94e-17,NaN
95.76,1.93e-17,NaN
95.81,1.94e-17,NaN
96.52,1.75e-17,NaN
96.65,1.62e-17,NaN
97.04,1.53e-17,NaN
97.7,1.29e-17,NaN
98.02,1.5e-17,NaN
